PWSID,Supply Name,Status Explanation,Status Short
MI0000011,ACME TOWNSHIP - HOPE VILLAGE," Inventory completed, no lead lines identified ",No lead lines
MI0000012,ADA TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0000020,ADAMS TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000030,ADDISON,Inventory not received or data not complete,Inventory not received or incomplete
MI0000050,AHMEEK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001352,ADVENTURE ACRES," Inventory completed, no lead lines identified ",No lead lines
MI0040002,ALLEGAN MOBILE ESTATES," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000070,AKRON," Inventory completed, no lead lines identified ",No lead lines
MI0000072,AKRON TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0000082,ALABASTER TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0060085,ALAMO COVE NURSING HOME," Inventory completed, no lead lines identified ",No lead lines
MI0040458,ALAN'S PARK - DURAND," Inventory completed, no lead lines identified ",No lead lines
MI0040319,ALAN'S PARK - FOWLERVILLE," Inventory completed, no lead lines identified ",No lead lines
MI0040129,ALANSON ESTATES MOBILE HOME PARK," Inventory completed, no lead lines identified ",No lead lines
MI0000088,ALBEE TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0066355,ARGENTINE CARE CENTER," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040259,ALGOMA ESTATES," Inventory completed, no lead lines identified ",No lead lines
MI0000300,AUBURN," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000347,BAIR LAKE BIBLE CAMP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000125,ALLEGAN COUNTY SERVICES CENTER," Inventory completed, no lead lines identified ",No lead lines
MI0000370,"BANCROFT, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000380,BANGOR," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000127,ALLENDALE TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0006682,TROUT CREEK CONDOMINIUMS,Inventory not received or data not complete,Inventory not received or incomplete
MI0000400,BANGOR-MONITOR METRO DISTRICT," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000410,BARAGA," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000520,BEAVERTON," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040681,ALTO MEADOWS," Inventory completed, no lead lines identified ",No lead lines
MI0040023,AMBER ESTATES MOBILE HOME PARK," Inventory completed, no lead lines identified ",No lead lines
MI0000215,ANDELINA FARMS," Inventory completed, no lead lines identified ",No lead lines
MI0040246,ANDREWS ESTATES," Inventory completed, no lead lines identified ",No lead lines
MI0000210,ANDREWS UNIVERSITY," Inventory completed, no lead lines identified ",No lead lines
MI0000620,BERGLAND TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000221,ANN ARBOR TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0040355,APPLE CARR VILLAGE," Inventory completed, no lead lines identified ",No lead lines
MI0040664,APPLE GROVE ESTATES," Inventory completed, no lead lines identified ",No lead lines
MI0040668,APPLEWOOD," Inventory completed, no lead lines identified ",No lead lines
MI0000236,ARBOR RIDGE CONDOMINIUMS," Inventory completed, no lead lines identified ",No lead lines
MI0004778,ARBOR VIEW," Inventory completed, no lead lines identified ",No lead lines
MI0040223,ARBOR VILLAGE," Inventory completed, no lead lines identified ",No lead lines
MI0000800,"BOYNE CITY, CITY OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040356,ARLINGTON WOODS," Inventory completed, no lead lines identified ",No lead lines
MI0000820,"BRECKENRIDGE, VILLAGE OF"," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000242,ARTESIAN SPRINGS RV RESORT," Inventory completed, no lead lines identified ",No lead lines
MI0040218,BROOMFIELD VALLEY," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000250,"ASHLEY, VILLAGE OF"," Inventory completed, no lead lines identified ",No lead lines
MI0000980,BUENA VISTA TOWNSHIP," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000285,AU GRES TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0001925,EAGLE LAKE CONDOMINIUMS,Inventory not received or data not complete,Inventory not received or incomplete
MI0000290,AU SABLE TOWNSHIP," Inventory completed, no lead lines identified ",No lead lines
MI0001000,BURR OAK," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
