PWSID,Supply Name,Population,2021,2022,2023,2024,2025,Total Replaced,Lead Lines,GPCL,Unknown,Total To Replace,Percent Replaced,Non-Lead,Total Lines,Exceedance,Latitude,Longitude,EPA_Link,Status Explanation,Status
MI0000011,ACME TOWNSHIP  HOPE VILLAGE,128,,,,,,,,,,,,1,1,,44.77368021,-85.50202394,https://echo.epa.gov/detailed-facility-report?fid=MI0000011&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000012,ADA TOWNSHIP,"7,068",,,,,,,,,,,,"2,431","2,431",,42.94588332,-85.50816724,https://echo.epa.gov/detailed-facility-report?fid=MI0000012&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000020,ADAMS TOWNSHIP,"2,010",,,,,,,,,154,154,0%,481,635,,47.04857945,-88.6653503,https://echo.epa.gov/detailed-facility-report?fid=MI0000020&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000030,ADDISON,605,,,,,,,,,,,,118,152,,41.98676106,-84.34824006,https://echo.epa.gov/detailed-facility-report?fid=MI0000030&sys=SDWIS,Inventory not received or data not complete,Inventory not received or incomplete
MI0000040,ADRIAN,"23,663",57,124,58,88,190,517,5,"2,280",,"2,285",18.5%,"3,876","6,161",,41.89813345,-84.04586038,https://echo.epa.gov/detailed-facility-report?fid=MI0000040&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0001352,ADVENTURE ACRES,75,,,,,,,,,,,,1,1,,42.82856261,-83.54939391,https://echo.epa.gov/detailed-facility-report?fid=MI0001352&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000050,AHMEEK,148,,,,,,,,9,,9,0%,98,107,,47.29891793,-88.38142499,https://echo.epa.gov/detailed-facility-report?fid=MI0000050&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0000070,AKRON,402,,,,,,,,,,,,202,202,,43.56991667,-83.51468428,https://echo.epa.gov/detailed-facility-report?fid=MI0000070&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000072,AKRON TOWNSHIP,219,,,,,,,,,,,,98,98,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0000082,ALABASTER TOWNSHIP,86,,,,,,,,,,,,45,45,,44.22678093,-83.5489467,https://echo.epa.gov/detailed-facility-report?fid=MI0000082&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0060085,ALAMO COVE NURSING HOME,100,,,,,,,,,,,,3,3,,,,," Inventory completed, no lead lines identified ",No lead lines
MI0040458,ALAN'S PARK  DURAND,41,,,,,,,,,,,,157,157,,42.94550398,-83.93538338,https://echo.epa.gov/detailed-facility-report?fid=MI0040458&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040319,ALAN'S PARK  FOWLERVILLE,350,,,,,,,,,,,,157,157,,42.65265374,-84.11371916,https://echo.epa.gov/detailed-facility-report?fid=MI0040319&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0040129,ALANSON ESTATES MOBILE HOME PARK,50,,,,,,,,,,,,20,20,,45.51328336,-84.66976458,https://echo.epa.gov/detailed-facility-report?fid=MI0040129&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000088,ALBEE TOWNSHIP,411,,,,,,,,,,,,203,203,,43.26471542,-83.95224622,https://echo.epa.gov/detailed-facility-report?fid=MI0000088&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
MI0000100,ALBION,"9,144",,,4,3,75,82,609,18,,627,11.6%,"2,142","2,769",,42.24992671,-84.75480233,https://echo.epa.gov/detailed-facility-report?fid=MI0000100&sys=SDWIS," Not Compliant (<20% average replacement, 2021–2024) ",Not compliant
MI0040259,ALGOMA ESTATES,580,,,,,,,,,,,,343,343,,43.17226164,-85.57229585,https://echo.epa.gov/detailed-facility-report?fid=MI0040259&sys=SDWIS," Inventory completed, no lead lines identified ",No lead lines
