PWSID,Supply Name,Percent Replaced,Old Status,New Status
MI0000260,ATHENS,26.0%,Not compliant,Compliant
MI0000605,BENTON CHARTER TOWNSHIP,38.0%,Not compliant,Compliant
MI0001960,EAST GRAND RAPIDS,26.3%,Not compliant,Compliant
MI0002340,"FLUSHING, CITY OF",50.0%,Not compliant,Compliant
MI0002630,GIBRALTAR,60.3%,Not compliant,Compliant
MI0002890,GROSSE POINTE FARMS,25.4%,Not compliant,Compliant
MI0040369,HARDY PARK,29.1%,Not compliant,Compliant
MI0003130,HESPERIA,26.9%,Not compliant,Compliant
MI0003510,K I SAWYER,62.5%,Not compliant,Compliant
MI0003550,"KALEVA, VILLAGE OF",21.9%,Compliant,Not compliant
MI0003640,KINGSFORD,25.9%,Not compliant,Compliant
MI0003700,"LAKE CITY, CITY OF",43.2%,Not compliant,Compliant
MI0003870,LINCOLN PARK,39.8%,Not compliant,Compliant
MI0004250,MENOMINEE,24.8%,Compliant,Not compliant
MI0004580,MUSKEGON HEIGHTS,32.2%,Not compliant,Compliant
MI0004685,NEW BUFFALO TOWNSHIP,50.0%,Not compliant,Compliant
MI0004850,NORTON SHORES,24.8%,Compliant,Not compliant
MI0005120,"OWOSSO, CITY OF",24.4%,Compliant,Not compliant
MI0005260,PENTWATER,32.4%,Not compliant,Compliant
MI0005620,READING,60.3%,Not compliant,Compliant
MI0005730,ROCKFORD,28.0%,Not compliant,Compliant
MI0005840,ROYAL OAK TOWNSHIP,23.6%,Compliant,Not compliant
MI0005980,"SCOTTVILLE, CITY OF",33.5%,Not compliant,Compliant
MI0006101,SOUTH HAVEN AREA WATER & SEWER AUTHORITY,31.2%,Not compliant,Compliant
MI0006650,TRENTON,26.0%,Not compliant,Compliant
MI0004800,UPPER MICHIGAN WATER COMPANY,50.0%,Not compliant,Compliant
MI0006800,VICKSBURG,28.7%,Not compliant,Compliant
MI0007070,WHITE PIGEON,27.6%,Not compliant,Compliant
